Neighbourhood ID,Neighbourhood Name,"Rate per 100,000 people",Case Count
1,West Humber-Clairville,2719.740634,906
2,Mount Olive-Silverstone-Jamestown,2985.980458,984
3,Thistletown-Beaumond Heights,2297.297297,238
4,Rexdale-Kipling,2212.935701,233
5,Elms-Old Rexdale,2115.059222,200
6,Kingsview Village-The Westway,2559.090909,563
7,Willowridge-Martingrove-Richview,1281.819823,284
8,Humber Heights-Westmount,2365.7289,259
9,Edenbridge-Humber Valley,1165.11104,181
10,Princess-Rosethorn,588.182065,65
11,Eringate-Centennial-West Deane,876.9098343,163
12,Markland Wood,625.3553155,66
13,Etobicoke West Mall,1612.086428,191
14,Islington-City Centre West,1366.996474,601
15,Kingsway South,744.256283,69
16,Stonegate-Queensway,542.8924993,136
17,Mimico (includes Humber Bay Shores),1006.948534,342
18,New Toronto,1160.254733,133
19,Long Branch,595.0019833,60
20,Alderwood,945.7441513,114
21,Humber Summit,2206.829897,274
22,Humbermede,2566.741718,399
23,Pelmo Park-Humberlea,2191.75527,235
24,Black Creek,2829.277269,615
25,Glenfield-Jane Heights,3004.165163,916
26,Downsview-Roding-CFB,2470.615086,866
27,York University Heights,2866.669083,791
28,Rustic,1911.276532,190
29,Maple Leaf,3451.686282,349
30,Brookhaven-Amesbury,1909.106268,339
31,Yorkdale-Glen Park,2492.569576,369
32,Englemount-Lawrence,1537.636331,344
33,Clanton Park,837.7853327,138
34,Bathurst Manor,1990.801991,316
35,Westminster-Branson,1716.525843,451
36,Newtonbrook West,1741.429231,415
37,Willowdale West,608.1719414,103
38,Lansing-Westgate,612.4721604,99
39,Bedford Park-Nortown,916.6810122,213
40,St.Andrew-Windfields,353.6941388,63
41,Bridle Path-Sunnybrook-York Mills,420.8935895,39
42,Banbury-Don Mills,498.284889,138
43,Victoria Village,1125.071388,197
44,Flemingdon Park,1422.51402,312
45,Parkwoods-Donalda,778.623761,271
46,Pleasant View,581.6158806,92
47,Don Valley Village,617.3524084,167
48,Hillcrest Village,661.3912838,112
49,Bayview Woods-Steeles,1261.973544,166
50,Newtonbrook East,335.4662359,54
51,Willowdale East,372.764405,188
52,Bayview Village,458.0295382,98
53,Henry Farm,1132.099472,178
54,O'Connor-Parkview,728.2463186,136
55,Thorncliffe Park,1639.188933,346
56,Leaside-Bennington,380.3185168,64
57,Broadview North,547.8737282,63
58,Old East York,628.1815228,58
59,Danforth East York,477.2991851,82
60,Woodbine-Lumsden,546.7260013,43
61,Taylor-Massey,1154.115922,181
62,East End-Danforth,762.3591039,163
63,The Beaches,282.8395233,61
64,Woodbine Corridor,406.6661351,51
65,Greenwood-Coxwell,554.9004647,80
66,Danforth,796.6066625,77
67,Playter Estates-Danforth,1050.743209,82
68,North Riverdale,411.211816,49
69,Blake-Jones,517.6653294,40
70,South Riverdale,351.5568948,98
71,Cabbagetown-South St. James Town,1602.536636,187
72,Regent Park,1064.519115,115
73,Moss Park,1565.395494,321
74,North St. James Town,1702.927746,317
75,Church-Yonge Corridor,855.1372049,268
76,Bay Street Corridor,585.3393805,151
77,Waterfront Communities-The Island,884.4992642,583
78,Kensington-Chinatown,1008.637503,181
79,University,933.350861,71
80,Palmerston-Little Italy,462.8959931,64
81,Trinity-Bellwoods,604.0106306,100
82,Niagara,875.5612572,273
83,Dufferin Grove,1018.24353,120
84,Little Portugal,1240.439617,193
85,South Parkdale,1702.595084,372
86,Roncesvalles,621.0765327,93
87,High Park-Swansea,589.3416928,141
88,High Park North,518.9062359,115
89,Runnymede-Bloor West Village,397.2194638,40
90,Junction Area,890.9926215,128
91,Weston-Pelham Park,1288.520454,143
92,Corso Italia-Davenport,933.9842921,132
93,Dovercourt-Wallace Emerson-Junction,707.1672355,259
94,Wychwood,968.7086208,139
95,Annex,861.5606368,263
96,Casa Loma,574.3982495,63
97,Yonge-St.Clair,462.962963,58
98,Rosedale-Moore Park,396.6926349,83
99,Mount Pleasant East,333.8301043,56
100,Yonge-Eglinton,423.119235,50
101,Forest Hill South,465.8963846,50
102,Forest Hill North,702.7955646,90
103,Lawrence Park South,461.1634495,70
104,Mount Pleasant West,913.7500843,271
105,Lawrence Park North,397.069898,58
106,Humewood-Cedarvale,396.7977724,57
107,Oakwood Village,1258.84017,267
108,Briar Hill-Belgravia,1395.805569,199
109,Caledonia-Fairbank,1094.927172,109
110,Keelesdale-Eglinton West,1374.570447,152
111,Rockcliffe-Smythe,1406.994516,313
112,Beechborough-Greenbrook,2493.538087,164
113,Weston,3612.716763,650
114,Lambton Baby Point,513.4627426,41
115,Mount Dennis,2501.287427,340
116,Steeles,487.3492263,120
117,L'Amoreaux,704.6575592,310
118,Tam O'Shanter-Sullivan,910.8795453,250
119,Wexford/Maryvale,845.3630404,236
120,Clairlea-Birchmount,1486.065817,401
121,Oakridge,1422.896352,197
122,Birchcliffe-Cliffside,1413.126374,315
123,Cliffcrest,903.6711641,144
124,Kennedy Park,1530.105706,262
125,Ionview,821.0541749,112
126,Dorset Park,1955.765308,489
127,Bendale,1648.865154,494
128,Agincourt South-Malvern West,723.9971377,172
129,Agincourt North,838.1135575,244
130,Milliken,511.8169502,136
131,Rouge,1679.714384,781
132,Malvern,1630.360323,714
133,Centennial Scarborough,598.7127676,80
134,Highland Creek,1280.614695,160
135,Morningside,2056.717273,359
136,West Hill,1117.114486,306
137,Woburn,1563.055062,836
138,Eglinton East,1343.519494,306
139,Scarborough Village,1925.376704,322
140,Guildwood,2036.906322,202
,Missing Address/Postal Code,,938