,Symbol,Name
0,AGF1225,AGF American Growth Class Series Q
1,AGF1423,AGF American Growth Class W
2,AGF201,AGF American Growth Class
3,AGF2100,AGF American Growth Class Series T
4,AGF2200,AGF American Growth Class Series T
5,AGF2504,AGF American Growth Class FV
6,AGF275,AGF American Growth Class
7,AGF3009,AGF American Growth Class Series V
8,AGF3109,AGF American Growth Class Series V
9,AGF3209,AGF American Growth Class Series V
10,AGF531,AGF American Growth Class
11,AGF626,AGF American Growth Class
12,AGF631,AGF American Growth Class
13,AGF754,AGF American Growth Class Series F
14,AGF854,AGF American Growth Class Series F
15,AGF931,AGF American Growth Class
16,ATL1347,Renaissance US Equity Income Cl T4
17,ATL1348,Renaissance US Equity Income Cl T4
18,ATL1349,Renaissance US Equity Income Cl T4
19,ATL1350,Renaissance US Equity Income Cl T6
20,ATL1351,Renaissance US Equity Income Cl T6
21,ATL1352,Renaissance US Equity Income Cl T6
22,ATL1353,Renaissance US Equity Income Cl FT4
23,ATL1354,Renaissance US Equity Income Cl FT6
24,ATL1355,Renaissance US Equity Income (H) Cl HT4
25,ATL1356,Renaissance US Equity Income (H) Cl HT4
26,ATL1357,Renaissance US Equity Income (H) Cl HT4
27,ATL1358,Renaissance US Equity Income (H) Cl HT6
28,ATL1359,Renaissance US Equity Income (H) Cl HT6
29,ATL1360,Renaissance US Equity Income (H) Cl HT6
30,ATL1361,Renaissance US Equity Income (H) Cl FHT4
31,ATL1362,Renaissance US Equity Income (H) Cl FHT6
32,ATL2486,Renaissance US Equity Income
33,ATL2487,Renaissance US Equity Income
34,ATL2488,Renaissance US Equity Income
35,ATL2489,Renaissance US Equity Income
36,ATL2490,Renaissance US Equity Income
37,ATL2491,Renaissance US Equity Income
38,ATL2492,Renaissance US Equity Income F
39,ATL2493,Renaissance US Equity Income F
40,ATL2494,Renaissance US Equity Income F Prem
41,ATL2495,Renaissance US Equity Income F Prem
42,ATL3276,Renaissance US Equity Income H
43,ATL3277,Renaissance US Equity Income H
44,ATL3278,Renaissance US Equity Income H
45,ATL3280,Renaissance US Equity Income FH
46,ATL3281,Renaissance US Equity Income FH Prem
47,ATL3282,Renaissance US Equity Income Cl OH
48,BTG105,Beutel Goodman American Equity Class F
49,BTG105U,Beutel Goodman American Equity Class F
50,BTG208,Beutel Goodman American Equity Class I
51,BTG208U,Beutel Goodman American Equity Class I
52,BTG308,Beutel Goodman American Equity Class B
53,BTG308U,Beutel Goodman American Equity Class B
54,BTG774,Beutel Goodman American Equity Class D
55,BTG774U,Beutel Goodman American Equity Class D
56,CIB258,CIBC US Broad Market Index F
57,CIB259,CIBC US Broad Market Index F
58,CIB315,CIBC US Broad Market Index F-Premium
59,CIB322,CIBC US Broad Market Index F-Premium
60,CIB484,CIBC US Broad Market Index
61,CIB589,CIBC US Broad Market Index Premium
62,CIB597,CIBC US Broad Market Index Premium
63,CIB884,CIBC US Broad Market Index
64,CIG11097,Sentry U.S. Growth and Income D
65,CIG15078,Sentry U.S Growth and Income EF
66,CIG16078,Sentry U.S Growth and Income E
67,CIG50237,Sentry U.S. Growth and Income A
68,CIG50238,Sentry U.S. Growth and Income A
69,CIG51237,Sentry U.S. Growth and Income B
70,CIG51238,Sentry U.S. Growth and Income B
71,CIG52237,Sentry U.S. Growth and Income B
72,CIG52238,Sentry U.S. Growth and Income B
73,CIG53237,Sentry U.S. Growth and Income B
74,CIG53238,Sentry U.S. Growth and Income B
75,CIG54237,Sentry U.S. Growth and Income F
76,CIG54238,Sentry U.S. Growth and Income F
77,CIG55237,Sentry U.S. Growth and Income I
78,CIG55238,Sentry U.S. Growth and Income I
79,CIG58237,Sentry U.S. Growth and Income P
80,DFA292,DFA US Core Equity A
81,DFA293,DFA US Core Equity Class F
82,DFA381,DFA US Core Equity Class I
83,DFA444,DFA US Core Equity Class A (H)
84,DFA445,DFA US Core Equity Class F (H)
85,DFA503,DFA US Core Equity Class I(H)
86,DFA682,DFA US Core Equity A
87,DFA683,DFA US Core Equity Class F
88,DFA684,DFA US Core Equity Class I
89,DJT00040,Desjardins American Equity Value
90,DJT00072,Desjardins American Equity Growth
91,DJT00640,Desjardins American Eq Value I
92,DJT00672,Desjardins American Equity Growth I
93,DJT03040,Desjardins American Equity Value C
94,DJT03072,Desjardins American Equity Growth C
95,DJT03272,Desjardins American Equity Growth C
96,DJT03440,Desjardins American Equity Value C
97,DJT03472,Desjardins American Equity Growth C
98,DJT03840,Desjardins American Equity Value F
99,DJT03872,Desjardins American Equity Growth F
100,DJT07040,Desjardins American Equity Value D
101,DJT07072,Desjardins American Equity Growth D
102,DYN004,Dynamic Power American Growth
103,DYN039,Dynamic Power American Growth
104,DYN1004,Dynamic Power American Growth Series T
105,DYN1014,Dynamic Power American Growth Series T
106,DYN1024,Dynamic Power American Growth Series T
107,DYN1244,Dynamic Power American Growth
108,DYN1627,Dynamic Power American Growth Series IP
109,DYN1628,Dynamic Power American Growth Series IP
110,DYN2002,Dynamic Power American Growth Series O
111,DYN253,Dynamic Power American Growth Ser F
112,DYN2714,Dynamic Power American Growth Series N
113,DYN2715,Dynamic Power American Growth Series N
114,DYN2716,Dynamic Power American Growth Series N
115,DYN2717,Dynamic Power American Growth Series FN
116,DYN2718,Dynamic Power American Growth Series IN
117,DYN2923,Dynamic Power American Growth Serie FT
118,DYN3324,Dynamic Power American Growth
119,DYN3424,Dynamic Power American Growth
120,DYN3524,Dynamic Power American Growth
121,DYN3624,Dynamic Power American Growth Ser F
122,DYN439,Dynamic Power American Growth Ser F
123,DYN504,Dynamic Power American Growth
124,DYN604,Dynamic Power American Growth
125,DYN639,Dynamic Power American Growth
126,DYN704,Dynamic Power American Growth
127,DYN7045,Dynamic Power American Growth
128,DYN7046,Dynamic Power American Growth Series T
129,DYN739,Dynamic Power American Growth
130,DYN8675,Dynamic Power American Growth
131,DYN8775,Dynamic Power American Growth
132,DYN8875,Dynamic Power American Growth
133,FID002,Fidelity US Focused Stock T8
134,FID017,Fidelity US Focused Stock A
135,FID034,Fidelity US Focused Stock A
136,FID102,Fidelity US Focused Stock T8
137,FID1112,Fidelity US Focused Stock T5
138,FID1212,Fidelity US Focused Stock S5
139,FID1312,Fidelity US Focused Stock T5
140,FID134,Fidelity US Focused Stock A
141,FID1512,Fidelity US Focused Stock T5
142,FID1812,Fidelity US Focused Stock T5
143,FID202,Fidelity US Focused Stock S8
144,FID234,Fidelity US Focused Stock B
145,FID321,Fidelity US Focused Stock A
146,FID331,Fidelity US Focused Stock A
147,FID3428,Fidelity US Focused Stock P1
148,FID3429,Fidelity US Focused Stock P1
149,FID3772,Fidelity US Focused Stock P2
150,FID3773,Fidelity US Focused Stock P3
151,FID3774,Fidelity US Focused Stock P2
152,FID3775,Fidelity US Focused Stock P3
153,FID421,Fidelity US Focused Stock A
154,FID4624,Fidelity US Focused Stock E1
155,FID4625,Fidelity US Focused Stock E1T5
156,FID4626,Fidelity US Focused Stock E2
157,FID4627,Fidelity US Focused Stock E3
158,FID4628,Fidelity US Focused Stock E4
159,FID4629,Fidelity US Focused Stock E1
160,FID4630,Fidelity US Focused Stock E2
161,FID4631,Fidelity US Focused Stock E3
162,FID502,Fidelity US Focused Stock T8
163,FID534,Fidelity US Focused Stock A
164,FID5482,Fidelity Insights Class A
165,FID5483,Fidelity Insights Class A
166,FID5484,Fidelity Insights Class A
167,FID5485,Fidelity Insights Class T5
168,FID5486,Fidelity Insights Class T5
169,FID5487,Fidelity Insights Class T5
170,FID5488,Fidelity Insights Class T8
171,FID5489,Fidelity Insights Class T8
172,FID5490,Fidelity Insights Class T8
173,FID5491,Fidelity Insights Class B
174,FID5492,Fidelity Insights Class S5
175,FID5493,Fidelity Insights Class S8
176,FID5494,Fidelity Insights Class F
177,FID5495,Fidelity Insights Class F5
178,FID5496,Fidelity Insights Class F8
179,FID5497,Fidelity Insights Class P1
180,FID5498,Fidelity Insights Class P1T5
181,FID5499,Fidelity Insights Class E1
182,FID5500,Fidelity Insights Class E1T5
183,FID5501,Fidelity Insights Class A
184,FID5502,Fidelity Insights Class A
185,FID5503,Fidelity Insights Class A
186,FID5504,Fidelity Insights Class T5
187,FID5505,Fidelity Insights Class T5
188,FID5506,Fidelity Insights Class T5
189,FID5507,Fidelity Insights Class T8
190,FID5508,Fidelity Insights Class T8
191,FID5509,Fidelity Insights Class T8
192,FID5510,Fidelity Insights Class B
193,FID5511,Fidelity Insights Class S5
194,FID5512,Fidelity Insights Class S8
195,FID5513,Fidelity Insights Class F
196,FID5514,Fidelity Insights Class F5
197,FID5515,Fidelity Insights Class F8
198,FID5516,Fidelity Insights Class P1
199,FID5517,Fidelity Insights Class P1T5
200,FID5518,Fidelity Insights Class E1
201,FID5519,Fidelity Insights Class E1T5
202,FID5616,Fidelity US Focused Stock E2T5
203,FID5659,Fidelity Insights Class E2
204,FID5660,Fidelity Insights Class E2
205,FID5661,Fidelity Insights Class E2T5
206,FID5662,Fidelity Insights Class E2T5
207,FID5663,Fidelity Insights Class E3
208,FID5664,Fidelity Insights Class E3
209,FID5665,Fidelity Insights Class E4
210,FID5666,Fidelity Insights Class E4
211,FID5667,Fidelity Insights Class E5
212,FID5668,Fidelity Insights Class E5
213,FID5669,Fidelity Insights Class P2
214,FID5670,Fidelity Insights Class P2
215,FID5671,Fidelity Insights Class P2T5
216,FID5672,Fidelity Insights Class P2T5
217,FID5673,Fidelity Insights Class P3
218,FID5674,Fidelity Insights Class P3
219,FID5675,Fidelity Insights Class P4
220,FID5676,Fidelity Insights Class P4
221,FID5677,Fidelity Insights Class P5
222,FID5678,Fidelity Insights Class P5
223,FID5776,Fidelity Insights Class E3T5
224,FID5777,Fidelity Insights Class E3T5
225,FID5808,Fidelity Insights Class P3T5
226,FID5809,Fidelity Insights Class P3T5
227,FID5858,Fidelity US Focused Stock P4
228,FID5915,Fidelity US Focused Stock E4
229,FID6209,Fidelity Insights Class P4T5
230,FID621,Fidelity US Focused Stock F
231,FID6210,Fidelity Insights Class P4T5
232,FID634,Fidelity US Focused Stock F
233,FID6436,Fidelity Insights Class P5T5
234,FID6437,Fidelity Insights Class P5T5
235,FID6505,Fidelity US Focused Stock F5
236,FID6506,Fidelity US Focused Stock F5
237,FID6507,Fidelity US Focused Stock F8
238,FID6508,Fidelity US Focused Stock F8
239,FID6510,Fidelity US Focused Stock S5
240,FID6511,Fidelity US Focused Stock S8
241,FID6512,Fidelity US Focused Stock T5
242,FID6513,Fidelity US Focused Stock T5
243,FID6514,Fidelity US Focused Stock T5
244,FID6515,Fidelity US Focused Stock T8
245,FID6516,Fidelity US Focused Stock T8
246,FID6517,Fidelity US Focused Stock T8
247,FID7097,Fidelity US Focused Stock E5
248,FID7098,Fidelity US Focused Stock P2T5
249,FID7099,Fidelity US Focused Stock P3T5
250,FID7105,Fidelity US Focused Stock E5
251,FID7106,Fidelity US Focused Stock P2T5
252,FID721,Fidelity US Focused Stock B
253,FID802,Fidelity US Focused Stock T8
254,FID834,Fidelity US Focused Stock A
255,FID934,Fidelity US Focused Stock Series O
256,IGI1018,IG Mackenzie Core U.S. Equity J DSC
257,IGI1019,IG Mackenzie Core U.S. Equity J NL
258,IGI1060,IG Putnam US Growth J DSC
259,IGI1061,IG Putnam US Growth J NL
260,IGI1308,IG Mackenzie Core U.S. Equity U
261,IGI1332,IG Putnam US Growth U
262,IGI834,IG Mackenzie Core U.S. Equity C DSC
263,IGI835,IG Mackenzie Core U.S. Equity C DSC
264,IGI836,IG Mackenzie Core U.S. Equity A
265,IGI837,IG Mackenzie Core U.S. Equity B
266,IGI838,IG Putnam US Growth C
267,IGI839,IG Putnam US Growth C
268,IGI840,IG Putnam US Growth A
269,IGI841,IG Putnam US Growth B
270,MAW108,Mawer US Equity A
271,MAW208,Mawer US Equity Series O
272,MAX1467,Quadrus Mackenzie US All Cap Growth Q
273,MAX1767,Quadrus Mackenzie US All Cap Growth Q
274,MAX1867,Quadrus Mackenzie US All Cap Growth Q
275,MAX6267,Quadrus Mackenzie US All Cap Growth QF
276,MAX6767,Quadrus Mackenzie US All Cap Growth QFW
277,MAX7167,Quadrus Mackenzie US All Cap Growth HW
278,MDM206,MDPIM US Equity Pool
279,MFC1378,Mackenzie US All Cap Growth A
280,MFC1537,Mackenzie US All Cap Growth A
281,MFC1637,Mackenzie US All Cap Growth A
282,MFC1834,Mackenzie US All Cap Growth A
283,MFC2000,Mackenzie US All Cap Growth F
284,MFC3203,Mackenzie US All Cap Growth A
285,MFC3347,Mackenzie US All Cap Growth A
286,MFC3348,Mackenzie US All Cap Growth A
287,MFC4644,Mackenzie US All Cap Growth D
288,MFC4870,Mackenzie US All Cap Growth F
289,MFC4871,Mackenzie US All Cap Growth FB
290,MFC4920,Mackenzie US All Cap Growth FB
291,MFC6089,Mackenzie US All Cap Growth PWX
292,MFC6163,Mackenzie US All Cap Growth PW
293,MFC6555,Mackenzie US All Cap Growth PW
294,MFC6556,Mackenzie US All Cap Growth PWX
295,MFC6916,Mackenzie US All Cap Growth PWFB
296,MFC6917,Mackenzie US All Cap Growth PWFB
297,MFC7101,Mackenzie US All Cap Growth A
298,MFC7102,Mackenzie US All Cap Growth A
299,MMF11234,Manulife US All Cap Equity T6
300,MMF1234,Manulife US All Cap Equity T6
301,MMF1334,Manulife US All Cap Equity T6
302,MMF14415,Manulife US All Cap Equity Adv
303,MMF1534,Manulife US All Cap Equity T6
304,MMF1634,Manulife US All Cap Equity T6
305,MMF1865,Manulife US All Cap Equity J
306,MMF1909,Manulife US All Cap Equity Adv
307,MMF19421,Manulife US All Cap Equity Adv
308,MMF3005,Manulife US All Cap Equity ZL
309,MMF3105,Manulife US All Cap Equity ZE
310,MMF34615,Manulife US All Cap Equity D
311,MMF4147,Manulife US All Cap Equity Adv
312,MMF4215,Manulife US All Cap Equity Adv
313,MMF4415,Manulife US All Cap Equity Adv
314,MMF4515,Manulife US All Cap Equity Adv
315,MMF4615,Manulife US All Cap Equity F
316,MMF4715,Manulife US All Cap Equity Adv
317,MMF4925,Manulife US All Cap Equity Adv
318,MMF4926,Manulife US All Cap Equity T6
319,MMF9221,Manulife US All Cap Equity Adv
320,MMF9321,Manulife US All Cap Equity Adv
321,MMF9421,Manulife US All Cap Equity Adv
322,MMF9621,Manulife US All Cap Equity F
323,MMF9721,Manulife US All Cap Equity Adv
324,NBC4066,NBI US High Conviction Eq Priv Port F
325,NBC4076,NBI US High Conviction Eq Priv Port F
326,NBC9365,NBI US Equity Private O
327,PHN385,PH&N US Multi-Style All-Cap Equity Fd O
328,RBF018,RBC QUBE Low Vol U.S. Equity Fund A
329,RBF1019,RBC U.S. Dividend Fund D
330,RBF1022,RBC U.S. Equity Fund D
331,RBF1023,RBC U.S. Equity Fund D
332,RBF10257,RBC Priv U.S. Large-Cap Core Eqty Pool O
333,RBF10258,RBC Priv U.S. Large-Cap Core Eqty Pool O
334,RBF10449,RBC U.S. Equity Fund O
335,RBF10455,RBC QUBE Low Vol U.S. Equity Fund O
336,RBF10541,RBC U.S. Dividend Fund O
337,RBF1088,RBC QUBE Low Vol U.S. Equity Fund D
338,RBF129,RBC U.S. Dividend Fund A
339,RBF132,RBC U.S. Equity Fund A
340,RBF1380,PH&N US Multi-Style All-Cap Equity Fd D
341,RBF1450,RBC QUBE Low Vol U.S. Equity Fund D
342,RBF1541,RBC U.S. Dividend Fund D
343,RBF184,RBC U.S. Equity Fund O
344,RBF192,RBC U.S. Dividend Fund O
345,RBF20940,RBC Priv U.S. Large-Cap Core Eqty Pool F
346,RBF20941,RBC Priv U.S. Large-Cap Core Eqty Pool F
347,RBF263,RBC U.S. Equity Fund A
348,RBF279,RBC QUBE U.S. Equity Fund O
349,RBF288,RBC QUBE Low Vol U.S. Equity Fund O
350,RBF418,RBC QUBE Low Vol U.S. Equity Fund T5
351,RBF440,RBC U.S. Equity Fund T5
352,RBF449,RBC U.S. Equity Fund A
353,RBF450,RBC QUBE Low Vol U.S. Equity Fund A
354,RBF488,RBC QUBE Low Vol U.S. Equity Fund A
355,RBF528,RBC QUBE Low Vol U.S. Equity Fund FT5
356,RBF5380,PH&N US Multi-Style All-Cap Equity Fd F
357,RBF539,RBC U.S. Dividend Fund T5
358,RBF541,RBC U.S. Dividend Fund A
359,RBF5449,RBC U.S. Equity Fund F
360,RBF5539,RBC U.S. Dividend Fund FT5
361,RBF5615,RBC U.S. Equity Fund FT5
362,RBF590,RBC U.S. Dividend Fund A
363,RBF599,RBC U.S. Dividend Fund T8
364,RBF615,RBC U.S. Equity Fund F
365,RBF634,RBC U.S. Dividend Fund F
366,RBF665,RBC QUBE Low Vol U.S. Equity Fund F
367,RBF679,RBC QUBE US Equity Series F
368,RBF688,RBC QUBE Low Vol U.S. Equity Fund F
369,RBF702,RBC U.S. Dividend Fund A
370,RBF704,RBC U.S. Equity Fund A
371,RBF718,RBC QUBE Low Vol U.S. Equity Fund A
372,RBF7380,PH&N US Multi-Style All-Cap Equity Fd A
373,RBF802,RBC U.S. Dividend Fund Csl
374,RBF804,RBC U.S. Equity Fund Adv
375,RBF818,RBC QUBE Low Vol U.S. Equity Fund Adv
376,RBF8385,PH&N US Multi-Style All-Cap Equity Fd O
377,RBF902,RBC U.S. Dividend Fund F
378,SUN105,Sun Life MFS US Growth A
379,SUN113,Sun Life MFS US Growth H
380,SUN131,Sun Life MFS US Growth A-T5
381,SUN1411,Sun Life MFS US Growth FH
382,SUN142,Sun Life MFS US Growth A-T8
383,SUN1511,Sun Life MFS US Growth IH
384,SUN205,Sun Life MFS US Growth A
385,SUN213,Sun Life MFS US Growth H
386,SUN231,Sun Life MFS US Growth A-T5
387,SUN242,Sun Life MFS US Growth A-T8
388,SUN305,Sun Life MFS US Growth A
389,SUN313,Sun Life MFS US Growth H
390,SUN331,Sun Life MFS US Growth A-T5
391,SUN342,Sun Life MFS US Growth A-T8
392,SUN405,Sun Life MFS US Growth F
393,SUNF5405,Sun Life MFS US Growth F5
394,SUNF8405,Sun Life MFS US Growth F8
395,SUNO105,Sun Life MFS US Growth O
396,SUNO1111,Sun Life MFS US Growth OH
397,SUNU105,Sun Life MFS US Growth A
398,SUNU205,Sun Life MFS US Growth A
399,SUNU305,Sun Life MFS US Growth A
400,SUNU405,Sun Life MFS US Growth F
401,TDB123,TD U.S. Blue Chip Equity A
402,TDB217,TD US Index I
403,TDB220,TD U.S. Blue Chip Equity I
404,TDB3011,TD U.S. Blue Chip Equity D
405,TDB3091,TD U.S. Blue Chip Equity D
406,TDB310,TD U.S. Blue Chip Equity A
407,TDB3104,Epoch U.S. Blue Chip Equity D
408,TDB3172,TD U.S. Blue Chip Equity F
409,TDB340,TD U.S. Blue Chip Equity A
410,TDB3410,TD U.S. Dividend Growth Fund-I
411,TDB3411,TD U.S. Dividend Growth Fund-A
412,TDB3412,TD U.S. Dividend Growth Fund-A
413,TDB3413,TD U.S. Dividend Growth Fund-A
414,TDB3414,TD U.S. Dividend Growth Fund-A
415,TDB3415,TD U.S. Dividend Growth Fund-F
416,TDB3416,TD U.S. Dividend Growth Fund-H
417,TDB3417,TD U.S. Dividend Growth Fund-T
418,TDB3418,TD U.S. Dividend Growth Fund-T
419,TDB3419,TD U.S. Dividend Growth Fund-T
420,TDB3420,TD U.S. Dividend Growth Fund-T
421,TDB3421,TD U.S. Dividend Growth Fund-S
422,TDB3423,TD U.S. Dividend Growth Fund-D
423,TDB3430,TD U.S. Dividend Growth Fund-I
424,TDB3431,TD U.S. Dividend Growth Fund-A
425,TDB3432,TD U.S. Dividend Growth Fund-A
426,TDB3433,TD U.S. Dividend Growth Fund-A
427,TDB3434,TD U.S. Dividend Growth Fund-A
428,TDB3435,TD U.S. Dividend Growth Fund-F
429,TDB3443,TD U.S. Dividend Growth Fund-D
430,TDB3491,TD U.S. Dividend Growth Fund-FT5
431,TDB3549,TD U.S. Blue Chip Equity H8
432,TDB3550,TD U.S. Blue Chip Equity T8 ISC
433,TDB3554,TD U.S. Blue Chip Equity FT5
434,TDB3555,TD U.S. Blue Chip Equity FT8
435,TDB370,TD U.S. Blue Chip Equity A
436,TDB410,TD U.S. Blue Chip Equity F
437,TDB439,TD US Index F
438,TDB661,TD US Index I
439,TDB902,TD US Index e
440,TDB952,TD US Index e
441,TDB977,TD U.S. Blue Chip Equity I
